lokasi,judul,deskripsi,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan,catatan
"Kedungkandang, Malang","K32 Dijual Rumah Lokasi Bumiayu, Malang  Luas tanah : 96 m2 Dimensi : 8 x12  Bangunan 1.5 lantai Luas bangunan : 98 m2 Kamar tidur : 3  Kamar mandi...","K32 Dijual Rumah Lokasi Bumiayu, Malang  Luas tanah : 96 m2 Dimensi : 8 x12  Bangunan 1.5 lantai Luas bangunan : 98 m2 Kamar tidur : 3  Kamar mandi...",500000000.0,3.0,1.0,96.0,98.0,2026-04-14,Kedungkandang,Aman
"Sawojajar, Malang",DIJUAL RUMAH BARU MINIMALIS - SAWOJAJAR 2  Lokasi: Sawojajar 2 - Kab. Malang (akses mudah & strategis)  Spesifikasi: Luas Tanah: 135 m² Rumah 2 la...,DIJUAL RUMAH BARU MINIMALIS - SAWOJAJAR 2  Lokasi: Sawojajar 2 - Kab. Malang (akses mudah & strategis)  Spesifikasi: Luas Tanah: 135 m² Rumah 2 la...,1400000000.0,5.0,4.0,135.0,200.0,2026-04-14,Blimbing,Aman
"Dieng, Malang","Rumah siap huni dengan harga murah , masih bisa nego sampai deal Rumah terletak dekat jalan utama perumahan Akses juga dekat dengan Universitas Mer...","Rumah siap huni dengan harga murah , masih bisa nego sampai deal Rumah terletak dekat jalan utama perumahan Akses juga dekat dengan Universitas Mer...",1650000000.0,3.0,2.0,204.0,150.0,2026-04-14,Sukun,Aman
"Sukun, Malang",Rumah luas dengan harga masih bisa nego di Sukun . Row jalan 2 mobil bisa lewat. Lingkungan aman dan tenang. Lokasi rumah cukup  dekat dengan pasar...,Rumah luas dengan harga masih bisa nego di Sukun . Row jalan 2 mobil bisa lewat. Lingkungan aman dan tenang. Lokasi rumah cukup  dekat dengan pasar...,1200000000.0,4.0,2.0,226.0,200.0,2026-04-14,Sukun,Aman
"Tidar, Malang","Ideal untuk Hunian Besar, Guest House, atau Investasi Properti Jangka Panjang  Berlokasi di Jl. Puncak Malino, Tidar, Malang, properti ini menawark...","Ideal untuk Hunian Besar, Guest House, atau Investasi Properti Jangka Panjang  Berlokasi di Jl. Puncak Malino, Tidar, Malang, properti ini menawark...",2900000000.0,7.0,4.0,256.0,230.0,2026-04-14,Sukun,Aman
"Lowokwaru, Malang",Dijual Rumah di Malang Luas 180m posisi sudut dalam perumahan area saxsofon kota Malang dekat kampus poltek Dan Brawijaya Kota Malang  Keunggulan P...,Dijual Rumah di Malang Luas 180m posisi sudut dalam perumahan area saxsofon kota Malang dekat kampus poltek Dan Brawijaya Kota Malang  Keunggulan P...,1100000000.0,2.0,1.0,180.0,49.0,2026-04-14,Lowokwaru,Aman
"Sukun, Malang","Rumah 1 lantai di Lowokwaru, Malang.  Dijual BU dibawah harga pasar rumah di wilayah yang asri dengan pemandangan permukiman warga. Properti 1 lant...","Rumah 1 lantai di Lowokwaru, Malang.  Dijual BU dibawah harga pasar rumah di wilayah yang asri dengan pemandangan permukiman warga. Properti 1 lant...",650000000.0,2.0,2.0,102.0,84.0,2026-04-14,Sukun,Aman
"Sukun, Malang","Dijual rumah hunian baru di area Perumahan Sukun Pondok Indah. Lokasi dekat dengan Universitas Kanjuruhan Malang. Hanya 15 menit dari Mall MOG, Sta...","Dijual rumah hunian baru di area Perumahan Sukun Pondok Indah. Lokasi dekat dengan Universitas Kanjuruhan Malang. Hanya 15 menit dari Mall MOG, Sta...",875000000.0,2.0,1.0,87.0,80.0,2026-04-14,Sukun,Aman
"Blimbing, Malang","Rumah Jual Area Blimbing Posisi Hook Dekat Kantor BPJS, SMPN 20,SMPN 5, SD Muhammadiyah, Rumah Sakit Lavalette Lapangan Rampal   Spesifikasi : Sert...","Rumah Jual Area Blimbing Posisi Hook Dekat Kantor BPJS, SMPN 20,SMPN 5, SD Muhammadiyah, Rumah Sakit Lavalette Lapangan Rampal   Spesifikasi : Sert...",2100000000.0,6.0,5.0,113.0,200.0,2026-04-13,Blimbing,Aman
"Blimbing, Malang",Spesifikasi: Luas tanah : 300 m² Dimensi: 10x30m Luas bangunan : 210 m² 1 lantai  Kamar tidur : 3 Kamar mandi : 1 Listrik :1300 watt Surat hak mi...,Spesifikasi: Luas tanah : 300 m² Dimensi: 10x30m Luas bangunan : 210 m² 1 lantai  Kamar tidur : 3 Kamar mandi : 1 Listrik :1300 watt Surat hak mi...,1200000000.0,3.0,1.0,300.0,210.0,2026-04-13,Blimbing,Aman
"Blimbing, Malang","Dijual Rumah Semi Furnish di Blok Depan PBI Araya, Blimbing Malang   Luas Tanah 264 m2 Luas Bangunan 136 m2 Kamar Tidur 3+2 Kamar Mandi 2+1 (1 dala...","Dijual Rumah Semi Furnish di Blok Depan PBI Araya, Blimbing Malang   Luas Tanah 264 m2 Luas Bangunan 136 m2 Kamar Tidur 3+2 Kamar Mandi 2+1 (1 dala...",2100000000.0,4.0,4.0,264.0,136.0,2026-04-13,Blimbing,Aman
"Araya, Malang","Rumah Baru Araya Malang Graha Golf February 2026 Selesai
 
 Luas Tanah 240m2
 Luas Bangunan 270m2
 4+1 Kamar Tidur
 4+1 Kamar Mandi
 Sertifikat Hak...","Rumah Baru Araya Malang Graha Golf February 2026 Selesai
 
 Luas Tanah 240m2
 Luas Bangunan 270m2
 4+1 Kamar Tidur
 4+1 Kamar Mandi
 Sertifikat Hak...",3900000000.0,5.0,5.0,240.0,270.0,2026-04-13,Blimbing,Aman
"Kedungkandang, Malang","Rumah Nyaman 1 lantai,Bangunan bagus,semi furnished,bangunan baru,ada halaman belakang dan rooftop,siap huni.Lokasi di Peeumahan elit Riverfront Ur...","Rumah Nyaman 1 lantai,Bangunan bagus,semi furnished,bangunan baru,ada halaman belakang dan rooftop,siap huni.Lokasi di Peeumahan elit Riverfront Ur...",1200000000.0,2.0,1.0,96.0,57.0,2026-04-13,Kedungkandang,Aman
"Dieng, Malang",Spesifikasi Luas tanah : 388 m² Luas bangunan : 174 m² 1 Lantai Kamar tidur : 4+1 Kamar mandi : 2+1 Hadap : selatan Surat : SHM Air : Sumur Listr...,Spesifikasi Luas tanah : 388 m² Luas bangunan : 174 m² 1 Lantai Kamar tidur : 4+1 Kamar mandi : 2+1 Hadap : selatan Surat : SHM Air : Sumur Listr...,3500000000.0,5.0,3.0,388.0,174.0,2026-04-13,Sukun,Aman
"Araya, Malang",TURUN HARGA 350JT‼️  *Dijual Cepat Rumah Di PBI Araya Malang*  Luas Tanah 264 M  Luas Bangunan 132M Kamar Tidur 3+1 Kamar Mandi 2+1 Garasi 2 mo...,TURUN HARGA 350JT‼️  *Dijual Cepat Rumah Di PBI Araya Malang*  Luas Tanah 264 M  Luas Bangunan 132M Kamar Tidur 3+1 Kamar Mandi 2+1 Garasi 2 mo...,1850000000.0,4.0,3.0,264.0,132.0,2026-04-13,Blimbing,Aman
"Lowokwaru, Malang",Dijual Murah Rumah 2 lantai selangkah ke SMA ST YUSUP di Borobudur Lowokwaru Malang  Luas tanah 193 (10x20) Luas bangunan 200 Lantai 2 Kamar Tidur ...,Dijual Murah Rumah 2 lantai selangkah ke SMA ST YUSUP di Borobudur Lowokwaru Malang  Luas tanah 193 (10x20) Luas bangunan 200 Lantai 2 Kamar Tidur ...,1100000000.0,7.0,2.0,193.0,200.0,2026-04-13,Lowokwaru,Aman
"Araya, Malang","Dijual Rumah Semi Furnish Desain Modern Terawat di Pondok Blimbing Indah, Araya Malang  Luas Tanah 249 m2 Dimensi 10m x 25m Luas Bangunan 295,2 m2 ...","Dijual Rumah Semi Furnish Desain Modern Terawat di Pondok Blimbing Indah, Araya Malang  Luas Tanah 249 m2 Dimensi 10m x 25m Luas Bangunan 295,2 m2 ...",3500000000.0,7.0,4.0,249.0,295.0,2026-04-13,Blimbing,Aman
"Blimbing, Malang",Turun Harga ‼️ Dijual Rumah Siap Huni Sudah Renovasi di Araya Blimbing Malang  Spesifikasi: LT: 119m2 Dimensi Tanah: 9*13.2 LB: 100m2 KT: 3 KM:...,Turun Harga ‼️ Dijual Rumah Siap Huni Sudah Renovasi di Araya Blimbing Malang  Spesifikasi: LT: 119m2 Dimensi Tanah: 9*13.2 LB: 100m2 KT: 3 KM:...,1200000000.0,3.0,1.0,119.0,100.0,2026-04-13,Blimbing,Aman
"Kedungkandang, Malang","Rumah Jual Dekat Cassablanca Residence, Oma View, Bandara, Exit tol, Area Sawojajar Akses Mudah Ke Pusat Kota Cocok untuk Hunian Keluarga. Furnishe...","Rumah Jual Dekat Cassablanca Residence, Oma View, Bandara, Exit tol, Area Sawojajar Akses Mudah Ke Pusat Kota Cocok untuk Hunian Keluarga. Furnishe...",750000000.0,3.0,3.0,200.0,120.0,2026-04-13,Kedungkandang,Aman
"Lowokwaru, Malang","DIJUAL RUMAH TERAWAT BAIK - POSISI HOOK - HADAP TAMAN Lokasi : Perumahan Griyashanta, Lowokwaru - Kota Malang  Selling Point : - Unit menghadap Tam...","DIJUAL RUMAH TERAWAT BAIK - POSISI HOOK - HADAP TAMAN Lokasi : Perumahan Griyashanta, Lowokwaru - Kota Malang  Selling Point : - Unit menghadap Tam...",2300000000.0,3.0,2.0,175.0,90.0,2026-04-13,Lowokwaru,Aman
"Araya, Malang","DIJUAL Rumah Full Furnished Eks Show Unit di Boulevard Greenwood Golf, Araya Malang  Luas tanah 240 m² Luas bangunan 280 m² Bangunan 2 lantai Car...","DIJUAL Rumah Full Furnished Eks Show Unit di Boulevard Greenwood Golf, Araya Malang  Luas tanah 240 m² Luas bangunan 280 m² Bangunan 2 lantai Car...",4500000000.0,4.0,4.0,240.0,280.0,2026-04-13,Blimbing,Aman
"Blimbing, Malang",Bawah bisa dibangun basement (garasi)  Luas tanah 382 m² Luas bangunan 160 m² 1 lantai Kamar tidur 4 + 1 Kamar mandi 3 + 1  Listrik 2200 Watt Air...,Bawah bisa dibangun basement (garasi)  Luas tanah 382 m² Luas bangunan 160 m² 1 lantai Kamar tidur 4 + 1 Kamar mandi 3 + 1  Listrik 2200 Watt Air...,11000000000.0,5.0,3.0,382.0,160.0,2026-04-13,Blimbing,Aman
"Sawojajar, Malang","Dijual Rumah 2 Lantai Siap Huni di Sawojajar 1, Malang  Luas Tanah 112 m² Luas Bangunan 92 m² Dimensi 7.5 x 15 m 2 Lantai  Kamar Tidur 4 Kamar Ma...","Dijual Rumah 2 Lantai Siap Huni di Sawojajar 1, Malang  Luas Tanah 112 m² Luas Bangunan 92 m² Dimensi 7.5 x 15 m 2 Lantai  Kamar Tidur 4 Kamar Ma...",1300000000.0,4.0,2.0,112.0,92.0,2026-04-13,Blimbing,Aman
"Blimbing, Malang",Karangploso Malang  Legalitas SHM  Luas tanah 85m² Luas bangunan 45m² Dimensi tanah 7 x 12m Kamar tidur 2 Kamar mandi 1 Listrik  1300kwh Air Pam...,Karangploso Malang  Legalitas SHM  Luas tanah 85m² Luas bangunan 45m² Dimensi tanah 7 x 12m Kamar tidur 2 Kamar mandi 1 Listrik  1300kwh Air Pam...,520000000.0,2.0,1.0,85.0,45.0,2026-04-13,Blimbing,Aman
"Rampal Celaket, Malang",Rumah di wilayah yang asri dengan pemandangan Lokasi dipusat kota. Properti 1 lantai ini berada di lingkungan yang mudah dijangkau.  Kategorinya ad...,Rumah di wilayah yang asri dengan pemandangan Lokasi dipusat kota. Properti 1 lantai ini berada di lingkungan yang mudah dijangkau.  Kategorinya ad...,2550000000.0,3.0,2.0,407.0,180.0,2026-04-13,Klojen,Aman
"Lowokwaru, Malang","Dijual Cepat Property 2 in 1 Lokasi Strategis Lowokwaru, Blimbing - Malang  - Rumah 2 Lantai Full Furnish Luas Tanah 85 m² Luas Bangunan 170 m² (...","Dijual Cepat Property 2 in 1 Lokasi Strategis Lowokwaru, Blimbing - Malang  - Rumah 2 Lantai Full Furnish Luas Tanah 85 m² Luas Bangunan 170 m² (...",3500000000.0,3.0,3.0,209.0,170.0,2026-04-13,Lowokwaru,Aman
"Klojen, Malang","Dijual Rumah Klasik di Jalan Gunung - Gunung, Klojen Malang  Selangkah dari Jalan Raya Ijen Dekat pasar Oro-Oro Dowo  Luas Tanah 607 m² Luas Bangu...","Dijual Rumah Klasik di Jalan Gunung - Gunung, Klojen Malang  Selangkah dari Jalan Raya Ijen Dekat pasar Oro-Oro Dowo  Luas Tanah 607 m² Luas Bangu...",13000000000.0,7.0,4.0,607.0,350.0,2026-04-13,Klojen,Aman
"Lowokwaru, Malang","Rumah Pojok Lokasi Dekat SMPN 11, SDN Tunjungsekar, kantor Kelurahan Tunjungsekar, Pusat Kuliner Sudimoro, SMA Sabilillah, Kuliner Soekarno Hatta  ...","Rumah Pojok Lokasi Dekat SMPN 11, SDN Tunjungsekar, kantor Kelurahan Tunjungsekar, Pusat Kuliner Sudimoro, SMA Sabilillah, Kuliner Soekarno Hatta  ...",899000000.0,2.0,1.0,133.0,80.0,2026-04-13,Lowokwaru,Aman
"Soekarno Hatta, Malang","*Dijual Rumah Hook area Tasikmadu Soekarno Hatta Blimbing Lowokwaru Malang Lokasi Strategis dekat Kampus Brawijaya UB, UM*  ✓ Hanya 6 Menit (2KM)...","*Dijual Rumah Hook area Tasikmadu Soekarno Hatta Blimbing Lowokwaru Malang Lokasi Strategis dekat Kampus Brawijaya UB, UM*  ✓ Hanya 6 Menit (2KM)...",1300000000.0,3.0,2.0,135.0,120.0,2026-04-13,Lowokwaru,Aman
"Tidar, Malang","Rumah Nyaman 1,5 lantai, bangunan butuh renovasi, 3 Kamar tidur, 2 Kamar mandi, 1 carport. Lokasi di Perumahan Tidar Villa Estate (Tidar atas). Lin...","Rumah Nyaman 1,5 lantai, bangunan butuh renovasi, 3 Kamar tidur, 2 Kamar mandi, 1 carport. Lokasi di Perumahan Tidar Villa Estate (Tidar atas). Lin...",1000000000.0,3.0,2.0,127.0,127.0,2026-04-13,Sukun,Aman
"Araya, Malang","Rumah Semi Furnish di Blok Depan PBI Araya, Blimbing Malang   Luas Tanah 264 m2 Luas Bangunan 136 m2 Kamar Tidur 3+2 Kamar Mandi 2+1 (1 dalam kamar...","Rumah Semi Furnish di Blok Depan PBI Araya, Blimbing Malang   Luas Tanah 264 m2 Luas Bangunan 136 m2 Kamar Tidur 3+2 Kamar Mandi 2+1 (1 dalam kamar...",2100000000.0,5.0,3.0,264.0,136.0,2026-04-13,Blimbing,Aman
"Kedungkandang, Malang","Rumah Jual Bangunan Baru Finishing Sebagian Lokasi Dalam Perumahan  View Perkotaan dan Pegunungan, Hawa Sejuk, Tenang Dekat Exit Tol Malang, Velodr...","Rumah Jual Bangunan Baru Finishing Sebagian Lokasi Dalam Perumahan  View Perkotaan dan Pegunungan, Hawa Sejuk, Tenang Dekat Exit Tol Malang, Velodr...",675000000.0,3.0,3.0,200.0,160.0,2026-04-13,Kedungkandang,Aman
"Oro-Oro Dowo, Malang","Rumah dijual Bangunan Design kolonial. Lokasi Di gunung gunung Jl Ijen area jl Guntur , Kel Oro oro dowo malang selangkah ke Jl Ijen Boulevard 2 me...","Rumah dijual Bangunan Design kolonial. Lokasi Di gunung gunung Jl Ijen area jl Guntur , Kel Oro oro dowo malang selangkah ke Jl Ijen Boulevard 2 me...",11000000000.0,7.0,5.0,578.0,220.0,2026-04-13,Klojen,Aman
"Klojen, Malang","Rumah Jual Kondisi Siap Huni Lokasi Strategis Dekat Kampus Unmer,UM, Mall MCP, Matos, Pusat Kuliner  Spesifikasi : Sertifikat : SHM  Luas Tanah : 3...","Rumah Jual Kondisi Siap Huni Lokasi Strategis Dekat Kampus Unmer,UM, Mall MCP, Matos, Pusat Kuliner  Spesifikasi : Sertifikat : SHM  Luas Tanah : 3...",3500000000.0,5.0,3.0,323.0,270.0,2026-04-13,Klojen,Aman
"Sukun, Malang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Sukun, Malang.  Rumah ini menawarkan lokasi yang strategis se...","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Sukun, Malang.  Rumah ini menawarkan lokasi yang strategis se...",180000000.0,3.0,2.0,72.0,36.0,2026-04-13,Sukun,Aman
"Araya, Malang",Dijual Rumah Mewah Cluster Ixora Valley Araya Sudah Lengkap Furnish Dan Lampu Hias  Spesifikasi : Legalitas : SHM Luas tanah : 200 m2 Dimensi : 10 ...,Dijual Rumah Mewah Cluster Ixora Valley Araya Sudah Lengkap Furnish Dan Lampu Hias  Spesifikasi : Legalitas : SHM Luas tanah : 200 m2 Dimensi : 10 ...,3550000000.0,5.0,5.0,200.0,227.0,2026-04-13,Blimbing,Aman
"Lowokwaru, Malang","Dijual Cepat Property 2 in 1 Lokasi Strategis Lowokwaru, Blimbing - Malang  - Rumah 2 Lantai Full Furnished Luas Tanah 85 m² Luas Bangunan 170 m²...","Dijual Cepat Property 2 in 1 Lokasi Strategis Lowokwaru, Blimbing - Malang  - Rumah 2 Lantai Full Furnished Luas Tanah 85 m² Luas Bangunan 170 m²...",1700000000.0,4.0,4.0,85.0,170.0,2026-04-13,Lowokwaru,Aman
"Lowokwaru, Malang","DIJUAL CEPAT : Dijual rumah nyaman dan asri di perumahan Pondok Kopi Estate Kotamadya Malang, bebas banjir, dekat sekolah, RS, bank, perkantoran, s...","DIJUAL CEPAT : Dijual rumah nyaman dan asri di perumahan Pondok Kopi Estate Kotamadya Malang, bebas banjir, dekat sekolah, RS, bank, perkantoran, s...",1900000000.0,6.0,3.0,201.0,170.0,2026-04-13,Lowokwaru,Aman
"Buring, Malang",Dijual Rumah di Malang Luas Murah kawasan Buring dekat sekali Proyek ciputra dekat Exit tol sawojajar Kota Malang  Keunggulan Properti : -Dalam Per...,Dijual Rumah di Malang Luas Murah kawasan Buring dekat sekali Proyek ciputra dekat Exit tol sawojajar Kota Malang  Keunggulan Properti : -Dalam Per...,850000000.0,3.0,2.0,206.0,150.0,2026-04-13,Kedungkandang,Aman
"Wonokoyo, Malang",Rumah modern khas Eropa nuansa villa dekat Gor Ken Arok Malang  DAPATKAN POTONGAN HARGA HINGGA 60 JT  LEBAR JALAN 6-11 METER  TINGGI PLAFON 4 METER...,Rumah modern khas Eropa nuansa villa dekat Gor Ken Arok Malang  DAPATKAN POTONGAN HARGA HINGGA 60 JT  LEBAR JALAN 6-11 METER  TINGGI PLAFON 4 METER...,400000000.0,2.0,1.0,65.0,40.0,2026-04-13,Kedungkandang,Aman
"Sawojajar, Malang","BURUAN! RUMAH + TANAH LUAS DI SAWOJAJAR 1 - MALANG    Jl. Danau Limboto, Sawojajar 1  Cocok buat tempat tinggal nyaman, renovasi jadi rumah impian,...","BURUAN! RUMAH + TANAH LUAS DI SAWOJAJAR 1 - MALANG    Jl. Danau Limboto, Sawojajar 1  Cocok buat tempat tinggal nyaman, renovasi jadi rumah impian,...",1480000000.0,2.0,1.0,209.0,200.0,2026-04-13,Blimbing,Aman
"Sulfat, Malang","Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Sulfat, Malang.  Rumah ini menawarkan lokasi yang strategi...","Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Sulfat, Malang.  Rumah ini menawarkan lokasi yang strategi...",1500000000.0,4.0,2.0,195.0,150.0,2026-04-13,Blimbing,Aman
"Sawojajar, Malang","DIJUAL RUMAH NYAMAN SAWOJAJAR 1 - 5 MENIT EXIT TOL  Lokasi Sawojajar 1 Kota Malang Strategis, lingkungan nyaman dan berkembang, cocok untuk hunian ...","DIJUAL RUMAH NYAMAN SAWOJAJAR 1 - 5 MENIT EXIT TOL  Lokasi Sawojajar 1 Kota Malang Strategis, lingkungan nyaman dan berkembang, cocok untuk hunian ...",680000000.0,3.0,1.0,105.0,100.0,2026-04-13,Blimbing,Aman
"Tidar, Malang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Tidar, Malang.  Rumah ini menawarkan lokasi yang strategis se...","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Tidar, Malang.  Rumah ini menawarkan lokasi yang strategis se...",1490000000.0,2.0,1.0,135.0,100.0,2026-04-13,Sukun,Aman
"Lowokwaru, Malang","Rumah Murah Luas Area Jl Sarangan Dekat Jalan Raya JA Suprapto  Rumah berada di daerah jl sarangan malang Lokasi strategis, tidak jauh dari pusat k...","Rumah Murah Luas Area Jl Sarangan Dekat Jalan Raya JA Suprapto  Rumah berada di daerah jl sarangan malang Lokasi strategis, tidak jauh dari pusat k...",1500000000.0,3.0,2.0,211.0,150.0,2026-04-13,Lowokwaru,Aman
"Sukun, Malang",Luas tanah : 78 Dimensi tanah : 6 x 13 Luas bangunan : 36 Berapa lantai : 1 Kamar tidur : 2 Kamar mandi : 2 Arah hadap : timur Jenis surat : SHM Li...,Luas tanah : 78 Dimensi tanah : 6 x 13 Luas bangunan : 36 Berapa lantai : 1 Kamar tidur : 2 Kamar mandi : 2 Arah hadap : timur Jenis surat : SHM Li...,620000000.0,2.0,1.0,78.0,36.0,2026-04-13,Sukun,Aman
"Kedungkandang, Malang",RUMAH jual dijual  Palmerah  Dijual secepatnya rumah 1 lantai bagus harga sangat terjangkau  MALANG KEDUNGKANDANG,RUMAH jual dijual  Palmerah  Dijual secepatnya rumah 1 lantai bagus harga sangat terjangkau  MALANG KEDUNGKANDANG,450000000.0,1.0,1.0,200.0,21.0,2026-04-13,Kedungkandang,Aman
"Kedungkandang, Malang",RUMAH jual dijual mutiara garden  Dijual cepat Rumah cantik dan bagus Siap Huni modern minimalis MALANG KEDUNGKANDANG,RUMAH jual dijual mutiara garden  Dijual cepat Rumah cantik dan bagus Siap Huni modern minimalis MALANG KEDUNGKANDANG,450000000.0,2.0,1.0,71.0,51.0,2026-04-13,Kedungkandang,Aman
"Lowokwaru, Malang","FOR SALE HOT UNIT lokasi strategis di Lowokwaru Kota Malang. Hunian asri, nyaman, sejuk cocok untuk rumah di masa tua. Layout luas pilihan tepat un...","FOR SALE HOT UNIT lokasi strategis di Lowokwaru Kota Malang. Hunian asri, nyaman, sejuk cocok untuk rumah di masa tua. Layout luas pilihan tepat un...",4500000000.0,5.0,5.0,441.0,300.0,2026-04-13,Lowokwaru,Aman
"Sawojajar, Malang","DIJUAL RUMAH BARU MODERN AMERICAN CLASSIC  LOKASI SAWOJAJAR 1 , KOTA MALANG    Harga : 1.550.Miliyar (nego)   - Luas Tanah 102 m2 (7. x 16) - Luas ...","DIJUAL RUMAH BARU MODERN AMERICAN CLASSIC  LOKASI SAWOJAJAR 1 , KOTA MALANG    Harga : 1.550.Miliyar (nego)   - Luas Tanah 102 m2 (7. x 16) - Luas ...",1550000000.0,4.0,3.0,102.0,155.0,2026-04-13,Blimbing,Aman
"Sukun, Malang",RUMAH jual dijual perum villa bukit tidar cluster azalea   Dijual cepat rumah cantik & bagus siap huni modern minimalis harga terjangkau MALANG SUK...,RUMAH jual dijual perum villa bukit tidar cluster azalea   Dijual cepat rumah cantik & bagus siap huni modern minimalis harga terjangkau MALANG SUK...,405000000.0,2.0,1.0,60.0,54.0,2026-04-13,Sukun,Aman
"Kasin, Malang","Rumah Dijual Malang Dijual rumah mewah 2 lantai 
 - Dekat Indomaret 
 - Dekat Rumah Sakit Islam
 - Dekat SMK Grafika
 - Dekat LANAL
 - Dekat Ratna ...","Rumah Dijual Malang Dijual rumah mewah 2 lantai 
 - Dekat Indomaret 
 - Dekat Rumah Sakit Islam
 - Dekat SMK Grafika
 - Dekat LANAL
 - Dekat Ratna ...",3000000000.0,6.0,3.0,316.0,450.0,2026-04-13,Klojen,Aman
"Sukun, Malang","Rumah di Sukun.  Cek segera rumah 2 lantai yang modern ini,  dijual dengan pemandangan indah yang menambah nilai estetika di lingkungan hunian. Rum...","Rumah di Sukun.  Cek segera rumah 2 lantai yang modern ini,  dijual dengan pemandangan indah yang menambah nilai estetika di lingkungan hunian. Rum...",285000000.0,2.0,1.0,50.0,36.0,2026-04-13,Sukun,Aman
"Lowokwaru, Malang","Luas tanah  311 m2 Luas bangunan  250 m2 Kamar tidur 4 Kamar mandi 2 di dlm + 1 di luar Pln 2200 Pdam Hadap Selatan SHM, IMB  Harga Jual 2,75 M  De...","Luas tanah  311 m2 Luas bangunan  250 m2 Kamar tidur 4 Kamar mandi 2 di dlm + 1 di luar Pln 2200 Pdam Hadap Selatan SHM, IMB  Harga Jual 2,75 M  De...",2750000000.0,4.0,2.0,311.0,250.0,2026-04-13,Lowokwaru,Aman
"Klojen, Malang",Turun Harga DIJUAL RUMAH TERAWAT SIAP HUNI TENGAH KOTA DI PINGGIR JL. RAYA KALIURANG* MALANG KOTA  Luas Tanah         : 431m² Luas Bangunan  : 222...,Turun Harga DIJUAL RUMAH TERAWAT SIAP HUNI TENGAH KOTA DI PINGGIR JL. RAYA KALIURANG* MALANG KOTA  Luas Tanah         : 431m² Luas Bangunan  : 222...,4800000000.0,6.0,3.0,431.0,431.0,2026-04-13,Klojen,Aman
"Lowokwaru, Malang",Luas tanah 119 m2 Luas bangunan ±70 m2 Bangunan 1 lantai Jumlah kamar tidur 3 (1 AC) Jumlah kamar mandi 2 (Heater) Listrik 2200 watt Air PDAM Hada...,Luas tanah 119 m2 Luas bangunan ±70 m2 Bangunan 1 lantai Jumlah kamar tidur 3 (1 AC) Jumlah kamar mandi 2 (Heater) Listrik 2200 watt Air PDAM Hada...,1700000000.0,3.0,2.0,119.0,70.0,2026-04-13,Lowokwaru,Aman
"Araya, Malang",Spesifikasi Utama Properti:    - Kamar Tidur: 4   - Kamar Mandi: 3   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 2200 W   - Arah Ban...,Spesifikasi Utama Properti:    - Kamar Tidur: 4   - Kamar Mandi: 3   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 2200 W   - Arah Ban...,1450000000.0,4.0,3.0,135.0,200.0,2026-04-13,Blimbing,Aman
"Soekarno Hatta, Malang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Soekarno Hatta, Malang.  Rumah ini menawarkan kelengkapan fas...","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Soekarno Hatta, Malang.  Rumah ini menawarkan kelengkapan fas...",1750000000.0,4.0,3.0,157.0,100.0,2026-04-13,Lowokwaru,Aman
"Sulfat, Malang","Spesifikasi :
 Surat SHM (+ IMB) 
 LT : 150m²
 LB : 70m² 
 Listrik 3300
 5 kamar tidur
 2 kamar mandi
 Carport
 Dapur
 Ruang cuci
 Ruang tamu
 Li...","Spesifikasi :
 Surat SHM (+ IMB) 
 LT : 150m²
 LB : 70m² 
 Listrik 3300
 5 kamar tidur
 2 kamar mandi
 Carport
 Dapur
 Ruang cuci
 Ruang tamu
 Li...",1100000000.0,5.0,2.0,150.0,70.0,2026-04-13,Blimbing,Aman
"Kedungkandang, Malang","Rumah Jual Merupakan Kawasan Berkembang Akses Dekat Pintu Tol, Kampus UM 2, Pusat Perbelanjaan (Pasar Tradisional & Living Mall), Ada Beberapa Seko...","Rumah Jual Merupakan Kawasan Berkembang Akses Dekat Pintu Tol, Kampus UM 2, Pusat Perbelanjaan (Pasar Tradisional & Living Mall), Ada Beberapa Seko...",600000000.0,2.0,1.0,65.0,45.0,2026-04-13,Kedungkandang,Aman
"Lowokwaru, Malang","Rumah Pojok Lokasi Dekat SMPN 11, SDN Tunjungsekar, kantor Kelurahan Tunjungsekar, Pusat Kuliner Sudimoro, SMA Sabilillah, Kuliner Soekarno Hatta  ...","Rumah Pojok Lokasi Dekat SMPN 11, SDN Tunjungsekar, kantor Kelurahan Tunjungsekar, Pusat Kuliner Sudimoro, SMA Sabilillah, Kuliner Soekarno Hatta  ...",889000000.0,2.0,1.0,113.0,80.0,2026-04-13,Lowokwaru,Aman
